"ken","kuno","kucode","kuname","人口_常住者（現住地による人口）","人口_現住所","人口_移動あり（5年前の常住市区町村「不詳」を除く）","人口_国内から","人口_自市町村内から","人口_自区内から","人口_自市内他区から","人口_県内他市町村から","人口_他県から","人口_国外から","人口_5年前の常住市区町村「不詳」","人口_移動状況「不詳」"
1,1,101,"北海道1区",286573,171611,69615,68717,44101,26855,17246,14544,10072,898,215,45132
1,2,102,"北海道2区",287975,182503,65085,64235,44576,28672,15904,13441,6218,850,154,40233
1,3,103,"北海道3区",282302,175397,66345,65773,45250,25986,19264,14452,6071,572,157,40403
1,4,104,"北海道4区",254864,183426,49091,47918,29403,10287,6619,14853,3662,1173,143,22204
1,5,105,"北海道5区",266463,192595,55446,54577,25546,6050,4161,22383,6648,869,122,18300
1,6,106,"北海道6区",256678,189956,52079,51286,31247,0,0,16293,3746,793,69,14574
1,7,107,"北海道7区",154227,112513,29463,28152,17339,0,0,8819,1994,1311,44,12207
1,8,108,"北海道8区",223451,168715,43726,42409,25976,0,0,12322,4111,1317,146,10864
1,9,109,"北海道9区",228840,170756,46177,45355,26801,0,0,15396,3158,822,89,11818
1,10,110,"北海道10区",172014,133995,30692,30091,16690,0,0,11916,1485,601,59,7268
1,11,111,"北海道11区",172983,131334,35042,34321,17619,0,0,13743,2959,721,90,6517
1,12,112,"北海道12区",173156,128004,33157,31151,17603,0,0,11225,2323,2006,60,11935
2,1,201,"青森1区",205979,160038,37196,36582,24401,0,0,6406,5775,614,67,8678
2,2,202,"青森2区",234497,182747,42134,41289,24790,0,0,9035,7464,845,49,9567
2,3,203,"青森3区",214106,173484,33839,33363,19325,0,0,9122,4916,476,44,6739
3,1,301,"岩手1区",184288,133805,42048,41651,21633,0,0,11036,8982,397,67,8368
3,2,302,"岩手2区",218545,175407,40322,39032,23884,0,0,10199,4949,1290,47,2769
3,3,303,"岩手3区",224749,182464,35041,34415,21027,0,0,7812,5576,626,50,7194
4,1,401,"宮城1区",282448,177501,71186,69851,39374,27579,11795,7415,23062,1335,75,33686
4,2,402,"宮城2区",282639,184790,66235,65493,38636,24279,14357,8085,18772,742,98,31516
4,3,403,"宮城3区",169663,131748,30026,29580,12588,0,0,11754,5238,446,55,7834
4,4,404,"宮城4区",235009,174475,45882,44639,23503,0,0,15232,5904,1243,69,14583
4,5,405,"宮城5区",209639,169600,33623,32774,20821,0,0,7980,3973,849,63,6353
5,1,501,"秋田1区",162261,121056,29436,29200,18698,0,0,4542,5960,236,58,11711
5,2,502,"秋田2区",153630,128358,20900,20423,12952,0,0,4524,2947,477,18,4354
5,3,503,"秋田3区",191172,163611,23796,23352,14904,0,0,5064,3384,444,19,3746
6,1,601,"山形1区",188325,142705,34879,34538,19327,0,0,8367,6844,341,43,10698
6,2,602,"山形2区",188946,157207,28910,28219,15115,0,0,8708,4396,691,44,2785
6,3,603,"山形3区",174318,145894,24797,24037,15269,0,0,4908,3860,760,25,3602
7,1,701,"福島1区",238050,181174,41556,40953,24552,0,0,9591,6810,603,211,15109
7,2,702,"福島2区",263110,205765,45433,44520,25819,0,0,11105,7596,913,173,11739
7,3,703,"福島3区",202683,163163,31157,30573,16703,0,0,9303,4567,584,82,8281
7,4,704,"福島4区",225445,159812,45282,44565,30233,0,0,7153,7179,717,237,20114
8,1,801,"茨城1区",255220,192061,43276,42590,23305,0,0,11387,7898,686,87,19796
8,2,802,"茨城2区",179329,139970,26575,24888,12546,0,0,6862,5480,1687,49,12735
8,3,803,"茨城3区",231635,178161,36010,34794,13716,0,0,10388,10690,1216,75,17389
8,4,804,"茨城4区",157559,125808,23081,22638,12006,0,0,7244,3388,443,32,8638
8,5,805,"茨城5区",140969,109428,21205,20769,12982,0,0,4444,3343,436,36,10300
8,6,806,"茨城6区",273369,189321,55505,53281,21370,0,0,15397,16514,2224,80,28463
8,7,807,"茨城7区",197952,160606,26965,25550,13750,0,0,5622,6178,1415,86,10295
9,1,901,"栃木1区",251979,170364,43725,42442,24503,0,0,7332,10607,1283,72,37818
9,2,902,"栃木2区",149993,121250,22450,21699,12555,0,0,5636,3508,751,36,6257
9,3,903,"栃木3区",142534,112793,22377,21774,10687,0,0,5566,5521,603,192,7172
9,4,904,"栃木4区",213494,166712,35279,33965,15853,0,0,9146,8966,1314,47,11456
9,5,905,"栃木5区",210216,169781,35123,33682,21229,0,0,5139,7314,1441,73,5239
10,1,1001,"群馬1区",209521,159263,36064,34768,20308,0,0,8134,6326,1296,90,14104
10,2,1002,"群馬2区",204099,156828,34548,33082,18825,0,0,8797,5460,1466,91,12632
10,3,1003,"群馬3区",196785,151503,34192,32010,17684,0,0,6684,7642,2182,54,11036
10,4,1004,"群馬4区",180445,135887,34817,33979,18885,0,0,6793,8301,838,84,9657
10,5,1005,"群馬5区",188849,153566,29428,28410,14964,0,0,9102,4344,1018,85,5770
11,1,1101,"埼玉1区",234673,154067,46644,45650,21759,14424,7335,8249,15642,994,75,33887
11,2,1102,"埼玉2区",236656,176332,45944,43618,19981,0,0,6775,16862,2326,201,14179
11,3,1103,"埼玉3区",231254,165686,43934,43242,19513,0,0,9760,13969,692,161,21473
11,4,1104,"埼玉4区",233875,153174,45836,44428,12868,0,0,10344,21216,1408,104,34761
11,5,1105,"埼玉5区",235227,153074,48077,47128,22369,14434,7935,8067,16692,949,87,33989
11,6,1106,"埼玉6区",244592,188719,40250,39384,15728,0,0,14499,9157,866,91,15532
11,7,1107,"埼玉7区",234079,162887,37487,36492,14412,0,0,10957,11123,995,107,33598
11,8,1108,"埼玉8区",251264,176371,43620,42655,16864,0,0,9389,16402,965,220,31053
11,9,1109,"埼玉9区",239421,183756,37311,36312,14921,0,0,11179,10212,999,75,18279
11,10,1110,"埼玉10区",195145,150912,30498,29347,9853,0,0,12706,6788,1151,73,13662
11,11,1111,"埼玉11区",203903,163137,30016,29218,14299,0,0,8859,6060,798,86,10664
11,12,1112,"埼玉12区",219570,176979,33523,32436,15830,0,0,9476,7130,1087,170,8898
11,13,1113,"埼玉13区",219728,175499,33581,32700,11657,0,0,12816,8227,881,61,10587
11,14,1114,"埼玉14区",239118,160285,41589,40586,15665,0,0,7215,17706,1003,128,37116
11,15,1115,"埼玉15区",251293,160039,50560,48774,18696,8545,3781,10281,19797,1786,116,40578
11,16,1116,"埼玉16区",222798,164255,34041,33446,15122,3131,1029,9566,8758,595,86,24416
12,1,1201,"千葉1区",263417,172194,47773,46008,22482,15964,6518,9095,14431,1765,100,43350
12,2,1202,"千葉2区",191626,130820,35514,34387,14316,5331,1744,9771,10300,1127,89,25203
12,3,1203,"千葉3区",197386,149605,32974,32409,18791,3880,1518,7586,6032,565,1485,13322
12,4,1204,"千葉4区",246112,165094,48657,47188,19016,0,0,10373,17799,1469,117,32244
12,5,1205,"千葉5区",249310,150274,58478,55968,19995,0,0,8882,27091,2510,78,40480
12,6,1206,"千葉6区",251022,170802,45419,43931,18715,0,0,7483,17733,1488,152,34649
